Response,Score
"If i have all the money in the world, that means that a big part of the world, is so poor, that they can't afford food. I wouldn't want that, but if i have no chance to have all this money and power, i probably would try to encourage development of science and healtcare, food distribution and electrycity, in all the places that are now poor, and try to change how the world works.
 I love how science has made way better our life expectancy and quality, but i can't comprehend how we don't unite and try to develop more thing like that and not another atomic bomb u know? I don't know what would kill us first, global warming, diseases, or ourselves.
 There are some things that money can't buy, and happiness is one, we create the money to have some order, but the money ended creating some of the most greedy and wicked people i've heard, we are al passengers on this world, why won't you try to make it a better place for all?",3
"If I really have ALL the money, the global economy is probably in shambles and I have bigger problems. If I'm just exceptionally rich, I would invest most of it in land and property, and fund some charities/green ventures. My friends and family would get a large cut, and then, to be honest, I would live a life of luxury. Being financially secure is one of my major goals because I do enjoy the finer things in life; obviously I would prefer to have earned it rather than have it handed to me in this theoretical scenario, but I would still take advantage of it. I do feel a sense of responsibility to share the wealth in some ways- particularly with the world falling apart as it is- and because there's really only so much money one person needs, but I certainly would've give it all to GreenPeace and live the life of an ascetic. It's an incredibly arrogant way to look at it, but frankly: there are plenty of rich people who are a lot worse than me, and I'd rather have it in my hands than theirs. (Please take that with a grain of salt!)",3
"I__ve never used it but I thought Klarna was pretty cool when I first saw it __¡± democratising EMI payments is a cool idea! (could turn exploitative easily, but if done well, still a cool idea.
 
 Among tools I__ve personally used, I love Wise so so much. I__ve lived in so many different countries over the past few years and without a tool like that, I would have struggled so much more with transfers and exchange rates (as I did at the start, being super wasteful with a scammy ___multi-currency card_____) they__ve made global living and mobility so much easier :3 much appreciation to them!
 
 And something old but gold that I recently got into? Fixed deposits. This may sound silly, but thank heavens we still have something for people that want to put money aside and let it grow a bit without having to spend ages figuring out how to invest in real stuff!",3
"One of the most interesting things I've seen recently is DAOs (decentralized autonomous organizations) and horizontal profit splitting (all members of a community earn some profit just for being a part of the community - somewhat similar to universal basic income?).
 
 The concepts of DAOs and horizontal profit splitting were introduced to me by a friend who is a trans-right activist and digital artist. We were both parts of a thriving digital community that became well-known and popular among womxn and non-binary digital artists. However, the person who started this community quietly decided to trademark the community name under their own and did not allow people within the community to gather/organize under the community name any longer (as of course they had now become solely responsible for all activities run under the group name, which became a lot to handle).
 
 This situation was very upsetting for many people, mainly because it was done ""in secret"", so my friend started another digital community - a DAO that pushed digital art marketplaces to implement horizontal profit splitting from digital sales within the members of the DAO.
 
 They argued that the previous community grew popular because of the value that every member brought to it, so it would have not been fair for individuals to profit off of the community name without involving everyone, which I agreed with.
 
 Some things need to be clarified when someone enters a DAO with horizontal profit splitting, such as that they need to guarantee participation within their possibility - so that they're not only making a profit off of joining. But overall, I like the idea of being able to support others directly.
 
 I am a little skeptical about some aspects of horizontal profit splitting. I believe different levels of effort should be rewarded in different ways, to encourage people to want to improve/achieve more. But I also believe in the value of community and active participation. I know it requires time, energy, and effort - and these should be rewarded.",4
"This whole world of Non fungible tokens and cryptocurrency is still a mind boggle to me. Its inclusive yet exclusive simultaneously. How on earth? And what was the first one, who, one day, decided that this was going to become reality. I am fascinated by friends that have a 5 year plan, who give me insight on how to make and prioritise money in life. I was told that I simply cannot rely on creativity fulfilling the yearning in my heart, but also to make space for finance, after all how will I live.
 The amount of funding in the arts is also baffling. Being someone on universal credit, on minimum wage, and hearing about an art director who just secured 30,000_¡ê for a 2 day exhibition, fair enough.",2
"I know everyone is saying it but Crypto currency and its possibilities with the Meta verse. As someone who is only just starting my career i am looking for ways to help grow my portfolio while doing the things i love. I've always considered starting my own business and am always looking for ideas and ways to do so. I think that Cryto has a massive ability to help with smaller startups when/if it moves to more of a company base rather than coins. I am hoping one day that anyone with an idea has the ability to create a startup token/platform on the crypto network for people to invest in. It gives people opportunities to take control of their money and invest in aspects that interest them. Linking this with the Meta verse gives the ability to communicate ideas face to face with potential clients, as well as give everyday people the opportunity to get involved in projects all over the world. Im excited for a more integrated financial system that brings people together in innovation.",2
"I really like the Starling app which I use. 3 things that are cool to me. First, colourful statistics of spending habits. The emphasis is on colourful and cute icons that they have there, Barclays app could never. Also, cool UX design, everything is super clear and stylish.
 
 [I've just discovered how to make a new paragraph here, I'm BLIND.]
 
 Secondly, they show your upcoming payments in the history already, so you know how much money you should have by which time and date. It's great for young people, as there is no illusion that you can somehow avoid the payment, and you simply don't forget about it.
 
 Lastly, I like their ""spaces"". You can create a space for savings, a space with a _¡ê200 limit for an additional cardholder to help you with groceries and small household purchases, and a space for your child's card. So your kid can have a physical card with a limit you set for them, linked to your app. My brother who's 10 has something similar, which teaches him responsibility for financial decisions from a young age. Also, it's a safer option for keeping his Birthday money in one place.",3
"Cigarette butts are the most discarded object in the world, trillions are thrown away every year.
 An Indian startup had the best idea i've ever heard, they separate the filters, paper and tobacco so they can make teddy bear filler, and with the paper and tobacco they make a mosquito repelent. They have just make a sustainable, eco-friendly, and with zero raw material cost! Also, they have created a lot of new work opportunitys for the people, i think that's cool because we need more reciclying and ecologycal ideas to activate the market for a better and healthier world!.",4
"Not NFTs, I can say that much. If it's strictly ""most interesting"" than perhaps it would be the story I saw on BBC about the man who got an implant in his hand that he could pay with. I still like to use cash, so, it's not that I want to follow that route, but it does evoke a bit of science fiction. What would it mean for us, as an entire society, to be so connected with the economy that our finances are literally stored in our bodies? Is that healthy, psychologically? My instinct is no, but maybe the whole concept of psychological health is changing too. But to me, it feels like a blatant surrender to something that we as individuals should be in control of. I don't want my money under my skin, where I can't look at it, pick it up, put it down, set it on fire if the wild urge strikes (just an example). I worry that social networks will go the same way, and soon we'll never be able to ""turn it off"", and we'll always be on a network: contactable, traceable, and monitorable. Paying with an implant might seem like a fantastic, modern, convenient way to keep track of your wallet, but it feels dangerous. At what point do the lines blur completely between a person and their money? It's already so tied to self-worth, to career prospects, to relationship success. But maybe I'm reading too much into it.",4
"I have a few little mantras or sayings that guide my approach to life. They might be a little cheesy, but they ring true to me: 
 
 ___Go with the Flow__ __¡° I am a firm believer in following opportunities that life presents you. Feeling free and open is incredibly important to me. I 
 
 Freedom and openness allow for infinite possibilities, and I am always impressed how in life, one thing can lead to the next, you just have to say yes and see where it takes you. Plans never work out exactly how you want them to, being adaptable and flexible are essential to having a good time regardless. 
 
 ___Appreciate the little things in life__ __¡° I am someone who can take a great deal of joy and pleasure from the small things in life. I try to remind myself that just because it is small, it doesn__t mean it isn__t important. Luxuriating in something ___small__ like a nice cup of coffee or a fun phone call with a friend, add up to your overall happiness for the day. I also feel like whenever I have a cold, I find myself thinking ___I didn__t know how nice it was to just feel normal!__ Which is a little dramatic, but I think it speaks to appreciating what you have. 
 
 (I also once had a fortune cookie in Italy that said ___Appreciate the little things in life__ (in Italian) and I made a resin necklace out of this for a jewelry project I was working on at the time. This also maybe speaks to my appreciation of small details and the sentiment is maybe why I got into jewelry design in the first place.)",4
"One of my life mantras is what goes around comes around. Another one of my guiding principles is to be the person you needed when you were younger (when dealing with kids). Another guiding principle is to try to spend as much time with loved ones (friends and family) before they are gone. And lastly, do what makes you happy, while trying to ignore the negativity and nay sayers around you.",2
"1. The biggest rewards come from the biggest risks
 2. Never stop learning by connecting with unexpected people, keeping widening your circle and spend time with people different from you and trying out new things
 3. What is the worst that could happen? What is the best that can happen? Mitigate the risks",2
"My life mantras? Wow, no one has ever thought me so wise as to ask me for advice on how to live their life, but here goes___
 
 Never devalue yourself to please others. This can generally mean, ___know your worth__ but I think this life lesson I__ve learnt specifically through my experiences dating and falling in and out of love with men over the years. I have begun to realise that my past patterns of behaviours, of shaping myself into the potential girlfriend I thought this person wanted or needed, was seriously damaging my own self-esteem and sense of identity. I actually had a bit of an epiphany moment about the age of 28 (hello, saturn return!) where I realised just how much I was short-changing myself for a certain person and had done so much in failed relationships before him. Since that day, I really understood the principle of embracing my true uniqueness and letting that lead me, so that someone who truly fell in love with me would find me one day. Apart from my love life, this guiding principle has seen me through toxic friendship battles, career mistakes and more!
 
 Don__t underestimate the importance of being silly - wow, this one has truly only sunk in since I__ve had a baby! Since when did adulting become so SERIOUS and hard. Children are truly the eye openers that help you reconnect with your own inner child and appreciate life from such a unique perspective. We all grow up and start wearing the cloaks of expectations we__ve picked up through learned behaviours, societal expectations and our own upbringing, but children literally demand that we have fun and go about our business as if no one is watching. If we all managed to embrace this in our daily lives a bit more, we__d be able to deal with the bigger, ___adult__ issues a lot more level-headed, I__m sure. It__s only through having my own son that I__ve realised just how much we forget to have fun as adults! It__s so so important to pull silly faces, belly laugh from being tickled out of the blue and twirl around in our living rooms just for the hell of it. 
 
 Always believe that your daydreams can come true one day - This one is different from the popular idea of manifestation. I don__t actually believe that if you visualise something strongly enough, it will happen to you. What I do believe is in the power of dreaming of something bigger than your life right now, that you have the capabilities and energy to put something into practice that gets you excited and gives you a sense of fulfilment. Take my business idea for instance. Although it__s been on the back burner for a number of years now, I__ve never given up hope that I could potentially make it happen one day. I know it will involve a lot of hard work and research, but the fire in my belly means that I truly believe deep down that I am worthy of success.",4
"There are a ton of generic quotes that resonate - mostly along the lines of 'life is a journey, not a destination'. I try to enjoy today, while planning for tomorrow - it's a balance of both and you can never know if you're striking the right balance. However, I've known too many people not make their planned future - why risk asking 'what if?' - so I tend to get on and do it. That said, I also try to look at my life through a lens from the future - when I'm an old man, looking back, what would I think about the choices I made? Why did I make them? I want to be content looking back at my journey - that I tried, I didn't make too many errors (or learned from them where I did) and I establishing a heartfelt communication with others. That when I didn't like something, I did something about it, that when I was offered an opportunity I took it, that I experienced many things - both good and bad.",2
"My personal mantra is to treat others the way I would want to be treated in all situations. I know this seems very simple, but I truly believe it is a great way to live life. It simply isn't worth being rude or nasty to people most of the time. I always try to give people the benefit of the doubt and see things from their perspective. In addition, I am fiercely loyal to my family and friends. I try to strike a balance between being too trusting and too cynical.",2
"Hope for the best, prepare for the worst
 While it's nice to be optimistic and assume everything will turn out just fine, I think we all need to ensure we're protected against downsides. I make sure I'm properly insured, and try to keep a couple of months non-perishable food on hand (which was useful during the food supply chain issues early in the pandemic). When travelling, it's always nice to have back-up plans e.g. alternative trains/planes to catch, alternative things to do on days with bad weather etc.
 
 Don't believe anything you read
 I'm highly sceptical and it's become a useful trait over the last few years - there's so much bias in the media and so much unsubstantiated hearsay on social media (which the mainstream media then reports as news, oddly). Keep questioning!
 
 Follow your interests
 It's way too easy to ignore your interests / passions / heart and be too logical. For instance, taking a well paying job over a low paying one may be logical but if you hate that high paying job then life becomes a grind which could lead to unhealthy coping mechanisms.
 
 Find out what makes you happy
 It could mean having a pet or a family, it could mean becoming CEO of a FTSE100 company... Or it could mean reading a book on the sofa or spending the weeking videogaming.",3
"I really feel like I was promised that if I went to a good school (university) and worked hard, I would have ___a good job.__ I fell for this myth. This has not been my experience. I think many people in my generation left college / university and were slapped in face with how difficult it can be to find a solid career / path (especially doing anything ___creative__ like working in jewelry / fashion.) Competition is insanely high and exciting opportunities are sometimes hard to come by. Maybe I__ve made the situation more difficult for myself by being an expat (so language and visas become an issue, then the strikes in France, and the Covid hit) but for a long time I was actively looking for work with a solid CV with 7 years of experience and 2 good universities and a master degree and STILL struggling to get interviews, let alone jobs. This struggle and my natural inclination toward juggling a bunch of side gigs, led to me opening my own freelance business in 2021. 
 
 Also, the notion of ___a good job__ has really changed for me since living in Europe. I think back to my last fulltime job in NYC before I moved to Paris - I was a Design Director at a Jewelry company where I was not paid that much (considering it was NYC) and I only had 12 vacation days a year and no sick days (this was illegal, but I didn__t know it at the time.) They offered me 10 vacations days and I managed to negotiate for 12 but this was barely any vacation days and if I was sick, those days came out of my vacation days (again, illegal). Long before that, I also worked an internship at a major fashion brand for 4 months without signing a single piece of paper __¡° they did this on purpose as this lets them have interns work for free without offering school credit or pay and then there is no paper trail. Fashion is notoriously a bad industry, but it is crazy the conditions people work in and for very little pay and very little time off. In the US it feels like workers are not taken care of, but the companies are protected. In Europe and especially in France I really feel that the individual worker is protected more than the company, people have contracts (no ___fire at will__ nonsense), people have health care automatically, and the standards for time off really encourage a more normal work/life balance. A good job to me now is not just one that pays well or at least fairly but one that respects people__s time and allows them some freedom with their time off.",3
"Being an adult is fun/better haha! It's so stressful! I am always looking for an ""adultier"" adult.",1
"The biggest myth I was told was go to school, study hard and get a stable job then the house etc. 
 
 Why?
 
 The people who have the life I want did their own thing, followed their passions and went outside the box. 
 
 You can__t really create something new by following the norm, following the path and following the ___correct__ approach. 
 
 I was always told, get a job with a pension and a career that is recession-proof. 
 
 I think most people have this myth that if you work hard, you get rewards. But, in reality, it is if you work smart, you will be rewarded. 
 
 I think the most connected and strategic people win.",2
"That grown-ups know what they__re doing. Haha! Biggest joke ever! Not one adult that I know of, has the answers to most of life__s biggest challenges. Not one. Yes, we all fumble on by and manage to buy houses, get married, have children, the usual steps to adult-hood that a lot of us subscribe to. Is that the winning formula? Absolutely not. If you even reach certain milestones in your life that you think make you worthy of being a proper adult, I__ve often found that the feeling of success of achieving that thing is short-lived. Outstripped by nerves, imposter syndrome, you name it. We__re all winging it and constantly trying to figure stuff out.",2
"That there was a tick-list of things you need to achieve to be successful in life - a job, a car, a house, a marriage, kids, holidays and that life was linear and consistent and rewarded you if you were too. It's total nonsense. Chaos and change are vital and should be embraced. There are infinite ways to 'do' life - all are valid - and we should absolutely encourage change, growth and trying and experiencing alternative approaches and views. I started that way but saw quickly how it would unfold and decided living in a small town, seeing the same people all the time, working in a business park office and settling wasn't going to cut it for me. I wanted to see and experience more - so I quit my job, applied for roles in a totally different career in London and moved down on my own. I'm now on my third career, just about to change roles and leaping into something bigger that will stretch me. Change is good! Long gone are the days of 2.4 children, the 9-5, working 40 years for a company to get a gold watch - entrepreneurial spirit is as valuable as years of service, diversity of experience delivers better outcomes, heterogenous teams achieve better results, age is not a limiting factor. On a personal level, I keep reminding myself that you don't need more stuff, you can wear what you want, you can live how you like - it's challenging sometimes to always remember that. I had a fortunate home background and schooling - I felt and still feel to a degree) an obligation (to build on and deliver on that beginning. But the reality is that my parents, friends, wife, etc. couldn't care less what I do or achieve as long as I'm happy. So I am mindful of that and am trying to incorporate more of that into my life - using my stability and progress to get more out of life's journey.",3
"I think the biggest myth I was told as a kid was that if you work hard, everything will work itself out in the end. While I think that is true for some people, it's certainly not true for everyone. For people born in many parts of the world, for example, no matter how hard they work, there will be limited opportunities. As I grew up, I learned that life is definitely not fair, and that many people have the deck stacked against them just because of where and when they are born.",2
"Work hard now and reap the benefits later.
 I always believed that if you worked hard early in life, you could relax later. You know, if you got great exams results at school and university, got a good job and worked hard for the first few years, you could relax due to all your knowledge and experience. 
 That's simply not true. Working hard simply gives you the opportunity to work harder later on. It really doesn't seem to let up, at least not in professional corporate jobs anyway!
 That said, I'd probably act mostly the same if I had my time again. I wouldn't drop out at 16 believing there was no point, I'd just be less surprised and dissappointed when my workload went up over time rather than down. It's all about managing expectations!",2
"My biggest hope is to find balance. Steadiness with some flexibility is SO appealing to me. I think this is my ultimate goal. I want to work but also have time for myself and time to travel! Is that too much to ask? haha 
 
 My biggest fear is that I__ll constantly be struggling. I feel like it would be really nice to reach a point where I can relax a bit and don__t have to be ___hustling__ for work. 
 
 I also worry about the way things tend to work out for me (and probably everyone else!). I feel like I have periods of time where I have absolutely no work and I am desperately searching and wide open for it but nothing comes. And then, the second I have something, it seems like 8 other projects get offered to me all at once. So, I am constantly fighting for work when I have the time to do it but then I don__t get it and then feeling absolutely overwhelmed when it all hits me all at the same time. I suppose this is called balance and it is something all freelancers must deal with but this sort of thing really gets to me.",2
"My biggest hope is to live a fulfilling life, in that I get to travel, have a career that I don't dread going to, not be stressed about money, and have inner peace (stop being so hard on myself). One of my biggest fears is having my life or a loved ones life cut short.",1
"I hope that I continue to create and cultivate more sources of income so that I have stability and knowing that money will flow to me regardless of what happens. 
 
 I hope that I can reach the stage where I can support financially the people and business that are doing good for the world, startups in climate change, forestry etc. 
 
 I hope that I can live more of my dream life - work when I want, where I want, doing multiple things to receive an income and spending time with people that energise me and help me grow. 
 
 My biggest fear is the standard of living for everyone will deteriorate. I won__t be able to afford clean drinking water, because it will be scarce; I won__t be able to breathe clean air and will need lung medication due to poor air quality and we will all become asthmatics; and there will be food shortages as agricultural land become barren. 
 
 I also fear about not having enough money for a comfortable life for myself when I am older. But, my bigger fears are for the world at large. 
 
 I fear that future generations won__t be able to have some of the experiences I have had, or enjoy life in the same way or have better experiences than my own. 
 
 I also fear being one of those people who can__t keep up with the world and access resources. Like when you see older people who can__t use websites to access their pensions. 
 
 What if I don__t keep up with the metaverse and can__t access my online therapy treatments?
 
 Now, people who are not digitally native are at a big disadvantage. What if I become one of the web3 illiterate? 
 
 But my main biggest fear is not living up to my full potential and being the person I could have been.",3
"Biggest hope is definitely feeling like I__ve given back to society in some way and done something that serves my wider community creatively. By community, this could mean locally and involve people I know or strangers. As long as I feel as though I__ve done the best I can to take action and improve the general collective life around me, rather than selfishly taking - physically and metaphorically from those around me. I also hope that I can be the best mother possible, not perfect, because striving for perfection only causes anxiety, but I hope my son grows up feeling as though he was surrounded by love and support in whatever he wanted to do with his life. I__m imagining a world where my local high street is full of independent business, each with their unique stamp on the community, surrounded by public art and finding it hard to choose from local art, music and cultural events for me or my family to go to. To see young people truly exploring their creative passions and genuinely believing that they can find work continuing them. To see people from all walks of life, collaborating on community projects and making positive impacts to the environment.
 
 Biggest fear is again, probably feeling like I__d not done something out of fear itself, fear of achieving something has stopped me from even trying to start it, so I hope that whatever shape my life takes, I feel as though I__ve embraced that fear and taken every opportunity I can along the way.",3
"That I'll never find out what it was all for or if I did it well. There's no 'summary', no 'review'. I like stats and objective views! Without that feedback, we can only really try and enjoy what we're currently doing, fix it if we don't and look after the people that are around us since they're the closest thing we have to a review mechanism. It's a bit existentialist for a Monday morning!",2
"My biggest hope in life is that I am able to start a family in the next few years. My wife and I recently got married and we are aiming to have our first child in 2023, and will probably have a second 2-3 years afterwards. Raising happy and healthy kids who have good values and go on to do something positive in the world is what is most important to me. On the other hand, my biggest fear is that I (or someone I love) will get seriously injured or sick, in a way that will change their lives for the worst. Between car accidents, extreme weather events, and the high prevalence of diseases like cancer and heart disease, there is a fair chance that such tragedy will strike at some point, and I am certainly worried about that possibility. However, I do try to compartmentalize those worries so I can still live in the moment.",2
"Hope:
 To own a nice house on the beach somewhere sunny while being privately wealthy and never having to work or worry about money again.
 
 Fear:
 Never being able to afford to stop working. 
 We're in a world where investments are volatile, cash is valueless due to overprinting / modern monetary theory and we've got hyperinflation setting in with prices going crazy. Taking a sabbatical or retiring doesn't seem possible does it?
 This wouldn't matter so much if I loved what I did and never wanted to stop (the dream is to get paid to do what you love to do and would be doing even if you didn't get paid, right?) but the reality is that if I could have retired at 40 and chilled I would have (the film Office Space speaks to me!).",3
"Success to me is the absence of desperation. Being able to say ___no__ to jobs and not feeling guilty or like you should have tried to force something that maybe wasn__t a great fit is ___being successful__ to me. It means that you have a degree of certainty that you don__t need to do everything, you can be selective and put your energy into things that interest you and that are compatible with your schedule. I think it is also about having an abundance mentality (as opposed to a scarcity mentality), you don__t have to accept every job that comes your way because you know that there are plenty of other opportunities for you and that you can cope until that time comes. It is just being more relaxed and comfortable. Anxiety is taken out of the equation.",3.5
"I often think about this, actually. I think too often we experience societal pressure to have a lavish house, a new car every so many years, the newest/latest gadget, etc to measure how successful you are. Personally, I think being successful is being happy with your own life, being a good, caring human and achieving your own goals you set for yourself. You don't have to constantly climb the career ladder. If you are happy with your current career and you're not a manager or a high earner, that to me is success. I think having inner peace (one of my goals) would make me successful. Traveling once or twice a year is success to me. Having a house that feels like home is success to me. Doing what I enjoy = success. So, I think just achieving your own goals is what success is. Screw the societal pressure.",3
"Successful for me is being able to be paid for being me. 
 
 For example, I have multiple talents and interests but only a few generate income - UX and ideas. Success for me would be generating income from multiple diverse sources so that no matter what happens in life, I am going to meet my basic needs now and in the future. 
 
 Success is being able to take a day off to meet a friend or spend time with family without having any negative consequences. 
 
 Success is about the resources, means and time to pursue my passions. 
 
 Success is about building a legacy for the people I will leave behind and making their life a little bit easier. 
 
 But, I really like my Mum__s definition of success the most: Success is leaving the planet in a better place than how you came into the world.",3
"Being successful to me, is a complex mix of emotions if I__m quite honest. My gut instinct is to say, it doesn__t involve money. It presents itself as feeling like you have had a positive impact on those around you in some way, however private or well-known your actions become. On the other hand, I can__t deny that enjoying the finer things in life; food, travel, home comforts, is tied up a lot in having access to above average income and so money does play a factor in what success means to me. As much as I__d like to say I don__t play into capitalist culture, I think that__s quite naive and it__s also not something to be shameful of, to want more money to be able to buy yourself nice things, or at least feel as though your life is easier and free of worry.",3
"Being able to support my family and friends. Having a stable base - shelter, food, safety - for me and for anyone else that needs it both now and in the future. It's an uncertain outlook - my wife and I have enough for now. But things change and my wife, my family and my friends may all face challenges - I'd like to be able to help if someone needs me. That will be my measure of success. It might be financial support, it might be moral, it might be emotional - it might be empowering someone to make their own change - I want to be able to be there for others.",2
"To me, being successful means having close relationships with family and friends, and doing work that makes a positive difference in the world. When a successful person passes away, he or she is remembered fondly by a large number of people. I think being able to take care of yourself and your family financially is an element of success, but monetary success is not that important to me.",2
"Being successful means a few things, not all of which would have to be simultaneously true:
 - being independently wealthy so I'd not have to worry about work or having a boss again
 - having time to myself, and the money to do what I wanted.
 - having a happy, healthy family
 - being respected / renowned for my achievements (and having some achievements worthy of respect and renown, of course!)
 - feeling like I'd fulfilled my potential and done everything I wanted / was capable of doing, and having done it well",2
"I think I view money as a safety net. Because my work is freelance and inconsistent, I try to always have a ___cushion__ for slower months. I am not at the point where this cushion can last for a very long time and when I have to tap into this cushion, I feel extreme anxiety and the desperation for new projects / work really intensifies. Money is not something I like to think about, it is of course necessary, but I wouldn__t say it is the driving force in my life. For example, I am more interested in working on exciting projects than higher paying ones. Unfortunately, I don__t yet have the luxury of only choosing projects I love, I still need the better paying ones, but I hope that one day I__ll be in that position. I do feel that I__ve set myself up to have the freedom I crave __¡° I set my own boundaries and have a very flexible work schedule which I really like. So, in that way I feel successful, but I don__t think I have personally reached monetary success yet.",3
"Unfortunately, money plays a huge role. I mentioned wanting to travel- that takes money. Buying a new/different home would take money. Money is an everyday stressor and thought for me. I have been thinking about going back to school for my masters because the company I work for will pay for it. Or, do I leave my current company and look for a higher paying job that maybe I won't dread going to? So many of my life decisions are based on money because do not want to being crippling debt and I am not ""just wing it"" type of person. So, money plays a role in my career and schooling. Money plays a role in my inner peace meaning hopefully one day having a good, solid money earning/saving/investing strategy will allow me to not stress about money everyday. Unfortunately every detail in our society comes own to money.",2
"Money gives me the ability to improve my life and other people__s lives at scale. 
 
 Time is a limited resource, but money isn__t. 
 
 By money, I don__t just mean conventional money - pound sterling. I mean large sums of money coming from multiple sources and multiple ways e.g. crypto, other foreign currencies, shares , bonds etc. 
 
 I want to be able to use the money I earn now to better fund my future and work for me. 
 
 During the pandemic, I learnt how to trade on the stock market, which actually helped me out at that time due to investing in a down and pulling out on a high. 
 
 This type of money factors in success for me, because it is passive, using the skills I have and can work while I am doing other things. 
 
 So, for me money factors into success because using money to make more money means I am able to delegate more of the mundane stuff to other people e.g. taxes, admin, cleaning, cooking etc. to other people and make their lives better, while I use my energies, talent and time on things that match the things I want to do.",2.5
"As above, money is certainly tied up in all of the above. I would be quite ignorant not to appreciate my privileged position in life to even be able to daydream about bigger things than simply paying a mortgage and having enough food on the table. But, there__s shades of grey and there__s a delicate balance between not appreciating the value of money, respecting how you spend it and not driving yourself into tricky financial positions and conversely, become obsessed with money as your primary, driving factor in life as well as having money based items as an integral part of your identity e.g designer items, lavish lifestyle etc.",3
"It's a means to an end. It's an enabler. It lets you add good things to your life and to the lives of those around you - experiences, things, some 'stuff'. It lets you avoid some of the negatives, or remove some of life's obstacles and challenges - it can buy you time and that's the most valuable commodity. It's the cause of and solution to most of life's problems - but it's a lot simpler than many people believe, woefully misunderstood, terribly taught, obscured behind terms and conditions and both hard earned and easily lost! It's something we should all think about more and worry about less.",3
"As I mentioned in my answer to the previous question, I think having enough money to provide for yourself and your family is extremely important. Without that, life is extremely difficult and stressful. That being said, I don't think financial success is the most important type of success, or that simply making more and more money is an admirable goal to go after. I do love to see when those with a large amount of money use it to do good in the world, though. In that way, their pursuit of financial success leads to better outcomes for a large number of people.",2
"Money is security.
 If you live paypacket to paypacket, you're always in fear of losing your job and can't quit no matter how bad things get. Even a little money acts as a cushion against redundancy or quitting to find a better job or retrain for one.
 
 Money is freedom. 
 If you rely on others, whether it's an employer (salary / wages), the government (benefits / UBI), or followers / fans (patreon etc.), for you financial security then you don't have financial security. You need have enough money to not need anything else to be truly free of expectations and demands on your time, and to not have any worries.
 
 Money is a means to an end.
 Money lets you live where you want (a Scottish castle? a Tony Stark Malibu beach house? or just a log cabin in the Highlands?) and have the lifestyle you want (partying in the Med? private jets to exotic islands? or just videogaming 24/7 because you can?)",2.5
"My father retired from 30 years in the Air Force and is still working, he is the hardest working person I have ever met. He is also fueled by his work, it really gives him some deep satisfaction. I don__t think he is interested in being fully retired. On one hand I can understand this and would want to stay busy and involved in projects that interested me. But on the other, I do really love to disconnect and explore the world and other interests. If I could retire and just travel around and do all my hobbies, I think I would be so happy. But I also wouldn__t mind a flexible job that let me do that, and then work a few days a week or something. I think I like the idea of retirement as allowing you to choose what you want to do __¡° if you want to continue working, you can. If you want to stop and just relax, you can do that too. To me, it is a time for not grinding yourself down with work and enjoying other things in life.",3
"Oh man. The fact that in the United States you cannot collect social security until you're 62 is just bull. Especially because the American culture just works you to death. We don't often get long vacations. Two weeks vacation seems to be the norm here. And then you're made to feel guilty for taking off. So, you work HARD all of your life, barely taking off then you can't retire until at least 62? Nonsense. I really wish more people talked about retirement and investing. I wish it was taught in school. I am working on teaching myself about investing and retirement because I'll be damned if I work til I'm 62. Then what happens if I work until I am 62 then I have a health condition(s) and can't enjoy my retirement anyway? I feel like retiring so late is a sham. You always hear people say ""when I retire I'm going to...."". Why the hell do we have to wait until we retire to do XYZ? I just lost a friend in November who worked his entire life and wasn't retired. He was waiting to retire so he could do XYZ and unfortunately he didn't get to. I feel like retirement is also this thing people talk about but we (as a society) really don't know how to go about retiring or save for retirement. I feel like often times people wait until they're about 1-10 years out from retirement until they start thinking about it or try to plan for it. If we start thinking about it and planning for it while we're younger we might have more money for our retirement. I think the retirement age should be lower, as well. By the time I can retirement the retirement age will be like 75, I swear! Ha!",3
"I don__t think I will retire in the conventional sense and don__t plan to.
 
 Retirement is too ___all or nothing__ - from work to no work - which is too much of a jolt to the system for me. 
 
 I think it is outdated too. It is assuming that people beyond a certain age have nothing to contribute to the business/corporate world. It is a loss of skills and expertise. 
 
 Even the name feels negative to me ___re-tire__ and when I say the word it does not have a positive tone, like ___tiring__ ___tire__ and ___tired__ is just not enticing or something I would want to do. 
 
 Why don__t we give the option where people approaching the traditional retirement age get to have a session with a skilled person who can show them all the options open to them?
 
 Why don__t we have consultancies full of retirees to contract hire? (Actually, I know someone doing this in Austria)
 
 Why don__t we find ways for people at the traditional retirement age and in the run up to this age, to explore their talents and strengths?
 
 My plan for the age when people traditionally retire is to start some businesses, or maintain the ones I will have at that age and do some really experimental stuff. 
 
 I think it is the right age to be ___whatever, I want to try it__. Maybe I would start a perfume house then? Who knows___..",2.5
"I am scared for my retirement. It seems so far away and yet like something that I don__t have the same benefits as my parents and grandparents to enjoy relatively stress-free. It__s something I am forced to think about now and yet I have no idea where to start. By all accounts, I can see myself working well into my 70s if health allows me, but will the stress and anxiety of saving enough for my retirement make me an absolute frazzled mess by the time I get there!? I want to be able to enjoy my twilight years without worrying about whether I can heat my home or have to rely on children to care for me. I would absolutely hate to be a burden on loved ones and want to feel financially secure when I reach retirement but it doesn__t seem like a realistic possibility right now. There__s no way to save with any real interest and so it seems futile to even try at the moment, especially with the cost of living going up by the second. It__s all quite depressing really, I don__t know how I__m going to be able to provide any kind of financial foundation to my own son, let alone think about myself and partner and how we__re going to fare on our own.",4
